---++ data10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| user.olszewsk.data10_7TeV.*.physics_MinBias.merge.ESD.f244_p151_tid140731_00_der1401705902 | 0.0721 | CERN-PROD_PHYS-HI |  |
| user.olszewsk.data10_7TeV.00160387.physics_Egamma.merge.ESD.r1647_p306_tid186626_00_der1396374302 | 0.33 | CERN-PROD_PHYS-HI |  |
| data10_7TeV.*.physics_Muons.merge.NTUP_HI.r1647_p306_p307_p1682_tid*_00 | 0.0677 | WEIZMANN-LCG2_PHYS-HI |  |

---++ data10_hi
| *expression* | *size [TB]* | *disk* | *responsible* |
| data10_hi.*.physics_bulk.daq.RAW | 0.571 | BNL-OSG2_PHYS-HI |  |
| data10_hi.*.express_express.merge.RAW | 0.13 | BNL-OSG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.merge.NTUP_HI.r*_r2768_p753_tid*_00 | 14.9 | BNL-OSG2_PHYS-HI |  |
| data10_hi.*.express_express.recon.ESD.x55 | 0.0287 | CERN-PROD_PHYS-HI |  |
| data10_hi.*.physics_bulk.merge.NTUP_HI.f320_m702 | 4.56 | CYFRONET-LCG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.ROOT.NTUP_HI.r2111_p456_tid*_00 | 7.98 | CYFRONET-LCG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.merge.NTUP_HI.r*_r2768_p753_tid*_00 | 1.11 | CYFRONET-LCG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.merge.NTUP_HI.r*_r2768_p753_tid*_00 | 22.2 | PRAGUELCG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.ROOT.NTUP_HI.r2111_p456_tid289737_00 | 7.61 | WEIZMANN-LCG2_PHYS-HI |  |
| data10_hi.*.physics_bulk.merge.NTUP_HI.r*_r2768_p753_tid*_00 | 11.8 | WEIZMANN-LCG2_PHYS-HI |  |
| group.phys-hi.data10_hi.*.physics_bulk.ROOT.NTUP_HI.r2111_p456.slim.* | 30.2 | WEIZMANN-LCG2_PHYS-HI |  |

